スキル,スキル分類,スキル詳細
オルタネイト,コピー系,COMBOボーナス20%ダウン、LIVE中に発動した最も高いスコアアップ効果を極大アップして適用
ミューチャル,コピー系,スコア20%ダウン、LIVE中に発動した最も高いCOMBOボーナス効果を極大アップして適用
リフレイン,コピー系,LIVE中に発動した最も高いスコアアップ効果/COMBOボーナス効果を適用
シンデレラマジック,コピー系,ユニット編成アイドル全員の特技効果を発動し、最も高い効果を適用
オーバードライブ,コンボ系,COMBOボーナス20％アップ、PERFECTでライフ1回復、PERFECTのみCOMBO継続
コンボボーナス,コンボ系,COMBOボーナス18％アップ
コンボボーナス(3色),コンボ系,COMBOボーナス18％アップ
ライフスパークル,コンボ系,ライフ値が多いほどCOMBOボーナスアップ
トリコロール・シナジー,"コンボ系,スコア系",3タイプ全てのアイドル編成時、PERFECTのスコア16％アップ/ライフ1回復、COMBOボーナス15％アップ
トリコロール・スパイク,"コンボ系,スコア系",全タイプ楽曲で3タイプ全てのアイドル編成時、ライフを18消費し、PERFECTのスコア18％アップ、COMBOボーナス17％アップ
フォーカス,"コンボ系,スコア系",[同属性]アイドルのみ編成時、PERFECTのスコア16％アップ、COMBOボーナス14%アップ
オーバーロード,スコア系,ライフを6消費し、一瞬の間PERFECT/GREATのスコア20％アップ、NICE/BADでもCOMBO継続
モチーフ,スコア系,ユニットの[特化]アピール値が多いほどPERFECTのスコアアップ
ドミナント・ハーモニー,ブースト系,[副属性]楽曲で[属性]と[副属性]のアイドルのみ編成時、[属性]アイドルのスコアアップ効果と、[副属性]アイドルのCOMBOボーナス効果をそれぞれの人数に応じてアップ
トリコロール・シンフォニー,ブースト系,3タイプ全てのアイドル編成時、他アイドルのスコアアップ/COMBOボーナス効果を特大アップ、他特技効果を大アップ
アンサンブル,ブースト系,他の[同属性]アイドルのスコアアップ/COMBOボーナス効果を特大アップ
クリスタル・ヒール,ライフ系,LIVE開始時にのみ必ず発動、ライフを200%まで回復し、LIVE中のライフゲージ減少量を50％ダウンする
